registration,make,model
WJ11VWG,FORD,FIESTA
WJ12EVF,FORD,FIESTA
WJ12XGX,FORD,FIESTA
WJ14PVF,TOYOTA,YARIS
WJ14ZWY,TOYOTA,YARIS
WJ15AAO,TOYOTA,YARIS
WJ16HLZ,PEUGEOT,108
WJ17FYG,KIA,CEED
WJ20JLX,TOYOTA,YARIS
WJ21BLN,LAND ROVER,DISCOVRY SPRT RDYN HSE P300E A
WJ21YTH,CITROEN,C3 SHINE PURETECH S/S
WJ22OWR,VOLKSWAGEN,GOLF R-LINE TDI S-A
WJ51JHU,FORD,FIESTA
WJ51NPN,FORD,FIESTA
WJ51PBX,FORD,FIESTA
WJ53KXL,VAUXHALL,AGILA
WJ53VUP,TOYOTA,YARIS
WJ53WHB,KIA,RIO
WJ54SJX,TOYOTA,YARIS
WJ54YHD,RENAULT,SCENIC
WJ56CNV,VAUXHALL,VECTRA
WJ56KUY,FORD,FIESTA
WJ56OTR,FORD,FIESTA
WJ56RZM,VAUXHALL,VECTRA
WJ56UKZ,FORD,FIESTA
WJ56YVM,MAZDA,6
WJ57GRU,FORD,FIESTA
WJ57GZO,FORD,FIESTA
WJ57MWW,MERCEDES-BENZ,CLS
WJ57ONM,VAUXHALL,VECTRA
WJ57OPN,VAUXHALL,VECTRA
WJ57WFA,MITSUBISHI,COLT
WJ57YZH,FORD,FIESTA
WJ58PTZ,FORD,FIESTA
WJ58UPF,MITSUBISHI,COLT
WJ59FSE,FORD,FIESTA
WJ59XOV,FORD,FIESTA
WJ60OAA,MERCEDES-BENZ,SPRINTER
WJ60UBV,VAUXHALL,AGILA
WJ60UUA,FORD,FIESTA
WJ61FOT,TOYOTA,YARIS
WJ61XJX,FORD,FIESTA
WJ62OSO,FORD,FIESTA
WJ63GDV,KIA,SOUL
WJ64HRL,SSANGYONG,KORANDO
WJ64WEA,TOYOTA,YARIS
WJ65ZYZ,KIA,RIO
WJ67EEU,RENAULT,SCENIC
WJ67RRU,BMW,440
WJ67ULE,PEUGEOT,BIPPER
WJ69LSK,TOYOTA,YARIS
WJ70YZR,NISSAN,NV400 ACENTA DCI
WJ72OZS,VOLKSWAGEN,ID5 TECH PRO PERFORMANCE
WK02BJV,FORD,FIESTA
WK02KYU,FORD,FIESTA
WK06FKH,FORD,FIESTA
WK07UMU,MITSUBISHI,COLT
WK08FSJ,KIA,CEED
WK08KUJ,MERCEDES-BENZ,CLS
WK09XTR,FORD,FIESTA
WK10UBN,TOYOTA,YARIS
WK10YKG,FORD,FIESTA
WK10ZHD,FORD,FIESTA
WK11DJY,CHEVROLET,AVEO
WK11XZC,FORD,FIESTA
WK12UZA,FORD,FIESTA
WK12XHA,FORD,FIESTA
WK12YHJ,TOYOTA,YARIS
WK12ZKW,FORD,FIESTA
WK13ODM,TOYOTA,YARIS
WK13SVF,FORD,FIESTA
WK14LUE,KIA,CEED
WK14UFN,FORD,FIESTA
WK14UTS,PEUGEOT,BIPPER
WK14VEV,TOYOTA,YARIS
WK14VKU,KIA,RIO
WK14XSV,RENAULT,SCENIC
WK15NZA,TOYOTA,YARIS
WK15UKC,MAZDA,6
WK15YJY,TOYOTA,YARIS
WK16OHH,TOYOTA,YARIS
WK18JWV,TOYOTA,YARIS
WK20PXP,KIA,CEED
WK23MRV,NISSAN,QASHQAI TEKNA E-POWER AUTO
WK23NDD,VOLKSWAGEN,GOLF STYLE ETSI S-A
WK52DHO,VAUXHALL,AGILA
WK56ELJ,VAUXHALL,VECTRA
WK57XNH,FORD,FIESTA
WK59DZM,MERCEDES-BENZ,SPRINTER
WK60VMG,MAZDA,6
WK62SVY,FORD,FIESTA
WK64UWS,FORD,FIESTA
WK68WFB,PEUGEOT,108
WK69GCX,MERCEDES-BENZ,B
WK69GMX,JAGUAR,F-PACE
WK69OMF,KIA,PICANTO TITANIUM EDITION AUTO
WK70TWM,TOYOTA,YARIS EXCEL HEV CVT
WK72VDX,MG,HS EXCITE S-A
WL03ESV,FORD,FIESTA
WL04GVP,MERCEDES-BENZ,SPRINTER
WL05JYJ,FORD,FIESTA
WL07AYF,FORD,FIESTA
WL07FMM,MITSUBISHI,COLT
WL08JAO,FORD,FIESTA
WL08KXH,KIA,CEED
WL09GYE,KIA,RIO
WL09HKD,FORD,FIESTA
WL09HYF,KIA,SOUL
WL10JRO,FORD,FIESTA
WL10VOO,MERCEDES-BENZ,CLS
WL11HAU,KIA,RIO
WL15ANN,TOYOTA,YARIS
WL17EBO,FORD,FIESTA
WL18BOJ,TOYOTA,YARIS
WL18KVS,JAGUAR,F-PACE
WL19MXA,AUDI,Q3
WL21LKU,CITROEN,C3 SHINE PURETECH S/S
WL55HHD,FORD,FIESTA
WL56DXT,TOYOTA,YARIS
WL57LNP,KIA,CEED
WL57LVK,FORD,FIESTA
WL58EJY,FORD,FIESTA
WL59DHM,FORD,FIESTA
WL59DHZ,TOYOTA,YARIS
WL60CTY,FORD,FIESTA
WL61EGX,FORD,FIESTA
WL61EJX,FORD,FIESTA
WL64ERZ,TOYOTA,YARIS
WL67CCE,TOYOTA,YARIS
WLN1S,AUDI,Q3
WLV409,TRIUMPH,ROCKET III
WM02JSU,FORD,FIESTA
WM02UWW,MAZDA,6
WM04JVY,MAZDA,6
WM08GXT,FORD,FIESTA
WM09AHO,MITSUBISHI,COLT
WM09SRY,MITSUBISHI,COLT
WM11FPV,TOYOTA,YARIS
WM12PVZ,FORD,FIESTA
WM13BZL,FORD,FIESTA
WM13FSK,MAZDA,6
WM13YNG,FIAT,500 L
WM16UOE,MERCEDES-BENZ,SPRINTER
WM17EOG,MERCEDES-BENZ,SPRINTER
WM18BHO,AUDI,Q3
WM18ORG,FIAT,RAPDIO
WM18PCU,MERCEDES-BENZ,SPRINTER
WM18PYY,MERCEDES-BENZ,SPRINTER
WM19JUC,MERCEDES-BENZ,SPRINTER
WM52FSJ,MAZDA,6
WM52YNP,RENAULT,SCENIC
WM53AYP,FORD,FIESTA
WM56EKP,MITSUBISHI,COLT
WM59BHK,KIA,RIO
WM59KHV,KIA,RIO
WM59NJO,FORD,FIESTA
WM63CEX,MERCEDES-BENZ,CLS
WM63EER,FIAT,500 C
WM63EUE,FIAT,500 L
WM63FPA,FIAT,500 L
WM63UBK,FORD,FIESTA
WM63UVA,FIAT,500 L
WM65JXA,MERCEDES-BENZ,SPRINTER
WM65NEY,FORD,FIESTA
WM67PHU,AUDI,Q3
WM69XKS,MERCEDES-BENZ,SPRINTER
WM71CVX,HYUNDAI,KONA
WM71KWE,HYUNDAI,KONA
WN02YLG,MERCEDES-BENZ,SPRINTER
WN04HVC,RENAULT,SCENIC
WN05JKE,FORD,FIESTA
WN06LVA,FORD,FIESTA
WN07BNZ,RENAULT,SCENIC
WN07LJL,FORD,FIESTA
WN07UGF,TOYOTA,YARIS
WN07YVY,MERCEDES-BENZ,SPRINTER
WN08NKS,MITSUBISHI,COLT
WN08OHA,MITSUBISHI,COLT
WN10AHD,MERCEDES-BENZ,SPRINTER
WN10HHP,KIA,CEED
WN10NZC,RENAULT,SCENIC
WN10VNP,FORD,FIESTA
WN11PNX,KIA,RIO
WN12FBL,TOYOTA,YARIS
WN12PKE,FORD,FIESTA
WN12RVO,KIA,RIO
WN13UBZ,MERCEDES-BENZ,CLS
WN14YRK,FORD,FIESTA
WN14YYM,TOYOTA,YARIS
WN15KCE,FORD,FIESTA
WN15ODS,FORD,FIESTA
WN16YCZ,FORD,FIESTA
WN16ZKY,TOYOTA,YARIS
WN17HXW,AUDI,Q3
WN17OBZ,MERCEDES-BENZ,SPRINTER
WN17YBG,BMW,S 1000
WN20UJX,MERCEDES-BENZ,SPRINTER
WN20WVZ,TOYOTA,YARIS
WN20YDB,MERCEDES-BENZ,SPRINTER
WN21PUK,MERCEDES-BENZ,SPRINTER 314 PROGRESSIVE CDI
WN21YNB,CITROEN,C3 AIRCROSS C-SERIES PTECH S/S
WN23NJE,HYUNDAI,KONA
WN51ONF,RENAULT,SCENIC
WN52ZSK,MERCEDES-BENZ,SPRINTER
WN53DZZ,MERCEDES-BENZ,SPRINTER
WN53LFD,VAUXHALL,AGILA
WN53VCD,VAUXHALL,VECTRA
WN53VUA,VAUXHALL,AGILA
WN53VUH,VAUXHALL,AGILA
WN54AUU,FORD,FIESTA
WN54DNO,MITSUBISHI,COLT
WN54GFJ,VAUXHALL,VECTRA
WN54KPL,FORD,FIESTA
WN54ZXP,BMW,X3
WN55HTZ,MITSUBISHI,COLT
WN55KUD,TOYOTA,YARIS
WN55LXU,FORD,FIESTA
WN55UWP,MITSUBISHI,COLT
WN55XEK,MITSUBISHI,COLT
WN56FHR,MAZDA,6
WN56VYA,MITSUBISHI,COLT
WN56XSJ,MERCEDES-BENZ,SPRINTER
WN56ZPH,FORD,FIESTA
WN57DPU,MERCEDES-BENZ,SPRINTER
WN57DVZ,RENAULT,SCENIC
WN57JUT,VAUXHALL,VECTRA
WN57LXX,VAUXHALL,VECTRA
WN57OPO,MITSUBISHI,COLT
WN57PVY,MITSUBISHI,COLT
WN57UMG,MERCEDES-BENZ,SPRINTER
WN57XOK,RENAULT,SCENIC
WN58CEU,FORD,FIESTA
WN58HLZ,VAUXHALL,VECTRA
WN58HMX,VAUXHALL,VECTRA
WN59APZ,KIA,RIO
WN59LMK,FORD,FIESTA
WN59OWW,KIA,CEED
WN59VXV,MITSUBISHI,COLT
WN60UFK,RENAULT,SCENIC
WN60UUR,MERCEDES-BENZ,SPRINTER
WN61AEM,TOYOTA,YARIS
WN62EFX,FORD,FIESTA
WN62NTX,TOYOTA,YARIS
WN62OUD,FORD,FIESTA
WN62RXB,KIA,RIO
WN63KUY,KIA,SOUL
WN63MVT,KIA,CEED
WN63UFM,TOYOTA,YARIS
WN63XNG,FIAT,500 L
WN65JUA,BMW,218
WN69BWY,MERCEDES-BENZ,SPRINTER
WN69ONZ,VOLKSWAGEN,GOLF MATCH EDITION TSI EVO S-A
WN69XZJ,MERCEDES-BENZ,SPRINTER
WN70XAA,AUDI,Q3
WN71MXF,VOLKSWAGEN,GOLF STYLE TSI
WN72XDR,MERCEDES-BENZ,EQA 350 AMG LNE PREMIUM 4MATIC
WO08LBX,NISSAN,CUBE
WO14HDJ,KIA,RIO
WO15VOY,MERCEDES-BENZ,SPRINTER
WO17YKA,SSANGYONG,KORANDO
WO19NNW,TOYOTA,YARIS
WO19ZHW,MERCEDES-BENZ,SPRINTER
WO21PMU,FORD,PUMA TITANIUM MHEV
WO21TBU,HYUNDAI,KONA
WO21VBV,LAND ROVER,R ROVER SPRT HSE SLVR D MHEV A
WO52AOE,TOYOTA,YARIS
WO64BWL,FORD,FIESTA
WO64FKW,TOYOTA,YARIS
WO66DLE,BMW,218
WO67EHK,FORD,FIESTA
WO67NEJ,AUDI,Q3
WO71JCX,HYUNDAI,TUCSON ULTIMATE T-GDI
WP02AVX,FORD,FIESTA
WP02AWJ,FORD,FIESTA
WP03AFV,CHRYSLER,VOYAGER
WP03TRX,MERCEDES-BENZ,SPRINTER
WP04EFN,VAUXHALL,VECTRA
WP04HZV,VAUXHALL,VECTRA
WP05AGX,TOYOTA,YARIS
WP05DPY,MITSUBISHI,COLT
WP05DSX,MITSUBISHI,COLT
WP05FVZ,MITSUBISHI,COLT
WP05MWO,VAUXHALL,VECTRA
WP05NRV,MITSUBISHI,COLT
WP05NVC,MITSUBISHI,COLT
WP06KRD,MERCEDES-BENZ,SPRINTER
WP06ZNK,MITSUBISHI,COLT
WP07FZL,MERCEDES-BENZ,SPRINTER
WP07MWL,FORD,FIESTA
WP09LNU,FORD,FIESTA
WP09LPC,FORD,FIESTA
WP09MFK,KIA,RIO
WP09WKZ,KIA,CEED
WP10KZN,FORD,FIESTA
WP11KKY,FORD,FIESTA
WP12EEU,FORD,FIESTA
WP12FSO,FORD,FIESTA
WP12FSU,FORD,FIESTA
WP12KTJ,PEUGEOT,BIPPER
WP12LVF,TOYOTA,YARIS
WP13ULK,TOYOTA,YARIS
WP14GFZ,FORD,FIESTA
WP14HJK,KIA,RIO
WP14OUH,MERCEDES-BENZ,SPRINTER
WP14PHX,BMW,X3
WP15XVF,TOYOTA,YARIS
WP16CYW,MERCEDES-BENZ,SPRINTER
WP16JKX,MERCEDES-BENZ,SPRINTER
WP17FJA,MERCEDES-BENZ,SPRINTER
WP19KJJ,BMW,S 1000
WP20LKM,FORD,FIESTA
WP20LMV,FORD,FIESTA
WP20MMK,FORD,FIESTA
WP21DMU,FORD,PUMA TITANIUM MHEV
WP23MVZ,FORD,PUMA TITANIUM MHEV
WP51UGE,TOYOTA,YARIS
WP52BNV,VOLVO,XC70
WP52HNZ,MERCEDES-BENZ,SPRINTER
WP52YVT,SUBARU,IMPREZA
WP53VFB,VAUXHALL,VECTRA
WP54CGG,TOYOTA,YARIS
WP54PWN,MAZDA,6
WP55LYO,MITSUBISHI,COLT
WP55PRX,MITSUBISHI,COLT
WP55UVE,MITSUBISHI,COLT
WP56GYO,MITSUBISHI,COLT
WP56HBG,MITSUBISHI,COLT
WP56WBM,FORD,FIESTA
WP58RHV,VAUXHALL,AGILA
WP58RKJ,VAUXHALL,AGILA
WP59BUA,MERCEDES-BENZ,SPRINTER
WP59LCX,PEUGEOT,BIPPER
WP59NKM,MERCEDES-BENZ,SPRINTER
WP59TVU,FORD,FIESTA
WP60AAF,FORD,FIESTA
WP60XNN,FORD,FIESTA
WP61BVA,KIA,CEED
WP61YCN,FORD,FIESTA
WP62ACU,KIA,RIO
WP62EPF,FORD,FIESTA
WP62LHN,MITSUBISHI,COLT
WP62UNZ,FORD,FIESTA
WP63FCD,FORD,FIESTA
WP63FDV,FORD,FIESTA
WP63MAX,FIAT,500 C
WP64GUH,PEUGEOT,BIPPER
WP65JZW,AUDI,Q3
WP65TXX,PEUGEOT,108
WP66FLE,TOYOTA,YARIS
WP66KXR,AUDI,Q3
WP66OOX,MERCEDES-BENZ,SPRINTER
WP66YAD,MAZDA,6
WP66ZVN,MERCEDES-BENZ,SPRINTER
WP67HYF,MERCEDES-BENZ,SPRINTER
WP68BKO,KIA,RIO
WP68GLY,HYUNDAI,KONA
WP68ZYO,MAZDA,6
WP69TEU,MERCEDES-BENZ,SPRINTER
WR02BMU,RENAULT,SCENIC
WR02CYT,MITSUBISHI,COLT
WR02FTY,MERCEDES-BENZ,SPRINTER
WR02LTF,FORD,FIESTA
WR02WMC,TOYOTA,YARIS
WR02ZZH,KIA,RIO
WR03KOB,VAUXHALL,AGILA
WR03TWE,MERCEDES-BENZ,SPRINTER
WR04CPN,FORD,FIESTA
WR04CVE,FORD,FIESTA
WR05OLA,FORD,FIESTA
WR05YYZ,TOYOTA,YARIS
WR06FWT,MITSUBISHI,COLT
WR06FZL,MITSUBISHI,COLT
WR06HDL,MITSUBISHI,COLT
WR06KZN,MITSUBISHI,COLT
WR06NXW,FORD,FIESTA
WR07BZO,MAZDA,6
WR07KOX,TOYOTA,YARIS
WR07UOF,VAUXHALL,VECTRA
WR07WNZ,KIA,CEED
WR08BJU,FORD,FIESTA
WR08JOV,MITSUBISHI,COLT
WR08VYS,TOYOTA,YARIS
WR09LYS,KIA,SOUL
WR09UZK,MITSUBISHI,COLT
WR09WVC,MITSUBISHI,COLT
WR09XDP,FORD,FIESTA
WR10GHX,FORD,FIESTA
WR10KDN,RENAULT,SCENIC
WR11HRP,FORD,FIESTA
WR11TUO,FORD,FIESTA
WR11YUL,FORD,FIESTA
WR12YSO,MERCEDES-BENZ,SPRINTER
WR13CNF,KIA,RIO
WR13EBG,FORD,FIESTA
WR13WTT,FIAT,500 L
WR14EFN,KIA,RIO
WR14KVF,MERCEDES-BENZ,SPRINTER
WR15CWP,FORD,FIESTA
WR15LJC,FIAT,500 L
WR15XAZ,MERCEDES-BENZ,SPRINTER
WR16CRX,FORD,FIESTA
WR16CYP,MERCEDES-BENZ,SPRINTER
WR16UBC,MERCEDES-BENZ,SPRINTER
WR18RZL,PEUGEOT,108
WR20VNM,MERCEDES-BENZ,SPRINTER
WR20XYH,PEUGEOT,208 ALLURE PREMIUM PURETECH SS
WR21NVB,FORD,PUMA ST-LINE X MHEV
WR21TLX,FORD,PUMA ST-LINE X MHEV
WR22EYG,FORD,PUMA ST-LINE X MHEV
WR22LNM,VAUXHALL,VIVARO 3100 ELITE S/S
WR22TYF,VOLKSWAGEN,TOUAREG V6 BLACK EDITION TSI A
WR51GVX,FORD,FIESTA
WR51NOH,FORD,FIESTA
WR51NRU,FORD,FIESTA
WR51OEP,FORD,FIESTA
WR51WBU,MERCEDES-BENZ,SPRINTER
WR52UBL,VAUXHALL,VECTRA
WR52VYE,FORD,FIESTA
WR53ABV,RENAULT,SCENIC
WR53NCZ,VAUXHALL,VECTRA
WR53WCJ,RENAULT,SCENIC
WR53ZSJ,FORD,FIESTA
WR54RLU,VAUXHALL,VECTRA
WR55ANV,MITSUBISHI,COLT
WR55JWW,VAUXHALL,VECTRA
WR55UVX,FORD,FIESTA
WR56FKJ,RENAULT,SCENIC
WR56HKH,VAUXHALL,VECTRA
WR56UWJ,FORD,FIESTA
WR57KYS,TOYOTA,YARIS
WR57MDX,MITSUBISHI,COLT
WR57RRX,KIA,RIO
WR57RXK,MERCEDES-BENZ,SPRINTER
WR57UOU,FORD,FIESTA
WR58BND,MAZDA,6
WR58HLG,FORD,FIESTA
WR58HOJ,FORD,FIESTA
WR58UYE,RENAULT,SCENIC
WR59AEL,TOYOTA,YARIS
WR59RNN,MITSUBISHI,COLT
WR60FLK,FORD,FIESTA
WR60TNU,MERCEDES-BENZ,SPRINTER
WR60VCP,MERCEDES-BENZ,SPRINTER
WR60YGJ,FIAT,PUNTO EVO
WR60ZBY,FIAT,PUNTO EVO
WR61UCH,MERCEDES-BENZ,SPRINTER
WR62CGU,FORD,FIESTA
WR62CHV,FORD,FIESTA
WR62RUY,FORD,FIESTA
WR62XRY,MERCEDES-BENZ,SPRINTER
WR63UCX,FIAT,500 L
WR63XVT,FIAT,500 L
WR65NSE,KIA,CEED
WR65OTB,KIA,RIO
WR66BCF,KIA,CEED
WR66ZDH,MERCEDES-BENZ,SPRINTER
WR67MJU,AUDI,Q3
WR69AVW,MERCEDES-BENZ,SPRINTER
WR69FDD,BMW,X3
WR69OFM,MERCEDES-BENZ,SPRINTER
WR69VJM,BMW,S 1000
WR71BYW,MERCEDES-BENZ,SPRINTER 314 PROGRESSIVE CDI
WR71YPE,MERCEDES-BENZ,SPRINTER
WT14NMZ,KIA,CEED
WT15GYW,FORD,FIESTA
WT15HRW,BMW,218
WT18MOA,AUDI,Q3
WT18SVW,TOYOTA,YARIS
WT19FEJ,TOYOTA,YARIS
WT19FEX,TOYOTA,YARIS
WT21CKA,FORD,PUMA ST-LINE X MHEV
WT21EMJ,FORD,PUMA ST-LINE X MHEV
WT21FKA,RENAULT,ZOE GT LINE RAPID CHARGE EV 50
WT69PNJ,FORD,FIESTA
WU03XHW,MERCEDES-BENZ,SPRINTER
WU03YBX,VAUXHALL,VECTRA
WU03ZDH,MERCEDES-BENZ,SPRINTER
WU04VGM,TOYOTA,YARIS
WU04XKA,MERCEDES-BENZ,SPRINTER
WU04ZFL,FORD,FIESTA
WU04ZGP,FORD,FIESTA
WU04ZHM,FORD,FIESTA
WU04ZLK,FORD,FIESTA
WU06CFA,FORD,FIESTA
WU06OPB,FORD,FIESTA
WU06XPA,VAUXHALL,VECTRA
WU07FFJ,NISSAN,CUBE
WU07TVP,TOYOTA,YARIS
WU08DFA,HARLEY-DAVIDSON,FLSTC HERITAGE SOFTAIL CL
WU09JZJ,VOLKSWAGEN,JETTA
WU09LXB,FORD,FIESTA
WU10RLZ,FORD,FIESTA
WU11HSZ,TOYOTA,YARIS
WU11OHN,MERCEDES-BENZ,SPRINTER
WU11OYC,TOYOTA,YARIS
WU11VEP,CHEVROLET,ORLANDO
WU11WCZ,MERCEDES-BENZ,SPRINTER
WU12JYY,KIA,RIO
WU12ULF,VAUXHALL,AGILA
WU13OMB,TOYOTA,YARIS
WU13YAJ,FORD,FIESTA
WU13YLW,FORD,FIESTA
WU14LDD,FORD,FIESTA
WU14ONB,TOYOTA,YARIS
WU17ECY,MERCEDES-BENZ,SPRINTER
WU17EDV,MERCEDES-BENZ,SPRINTER
WU17ERY,MERCEDES-BENZ,SPRINTER
WU17XVC,TOYOTA,YARIS
WU17YPL,FORD,FIESTA
WU18OTA,PEUGEOT,108
WU51GZC,TOYOTA,YARIS
WU52CHK,MITSUBISHI,COLT
WU53TGY,FORD,FIESTA
WU53ZDR,MERCEDES-BENZ,SPRINTER
WU54UAD,FORD,FIESTA
WU54XNL,MERCEDES-BENZ,SPRINTER
WU54XZD,MITSUBISHI,COLT
WU54YYL,VOLVO,XC70
WU54ZGM,VAUXHALL,VECTRA
WU54ZGY,VAUXHALL,VECTRA
WU54ZZL,VAUXHALL,VECTRA
WU55KZJ,MERCEDES-BENZ,SPRINTER
WU55OPY,FORD,FIESTA
WU55VCZ,FORD,FIESTA
WU55YDG,FORD,FIESTA
WU56HWH,FORD,FIESTA
WU56WGP,FORD,FIESTA
WU56XDR,VAUXHALL,VECTRA
WU57MHO,MERCEDES-BENZ,SPRINTER
WU57NHT,FORD,FIESTA
WU58JMV,FORD,FIESTA
WU58KUF,FORD,FIESTA
WU58OFB,MERCEDES-BENZ,SPRINTER
WU58WBL,FORD,FIESTA
WU58WJE,FORD,FIESTA
WU58YYL,VAUXHALL,VECTRA
WU59UHR,FORD,FIESTA
WU60KRE,MERCEDES-BENZ,SPRINTER
WU61HUP,MERCEDES-BENZ,SPRINTER
WU61RJO,TOYOTA,YARIS
WU61WWP,MERCEDES-BENZ,SPRINTER
WU61XBO,MERCEDES-BENZ,SPRINTER
WU62KNS,FORD,FIESTA
WU62NPP,MERCEDES-BENZ,SPRINTER
WU64JFX,FORD,FIESTA
WU65HUV,PEUGEOT,108
WU65PYX,TOYOTA,YARIS
WU66HPE,KIA,CEED
WU70JKK,AUDI,Q3
WU72EZJ,RENAULT TRUCKS,TRAFIC 30 LWB AUTO
WU72LHV,VOLKSWAGEN,TOUAREG V6 BLACK EDITION TSI A
WV04VAF,TOYOTA,YARIS
WV05CWD,FORD,FIESTA
WV05SFO,MAZDA,6
WV05TZH,MITSUBISHI,COLT
WV05XJX,FORD,FIESTA
WV05YTE,MERCEDES-BENZ,SPRINTER
WV06HCA,MITSUBISHI,COLT
WV07LJF,TOYOTA,YARIS
WV08DHG,SUBARU,IMPREZA
WV08FWU,MITSUBISHI,COLT
WV08OBL,FORD,FIESTA
WV08UCA,FORD,FIESTA
WV08ZGN,FORD,FIESTA
WV09GWU,KIA,CEED
WV09HLD,FORD,FIESTA
WV10ETJ,FIAT,500 C
WV10LLR,FORD,FIESTA
WV10MFK,FORD,FIESTA
WV10UFJ,FORD,FIESTA
WV11EFH,MERCEDES-BENZ,SPRINTER
WV11VNY,MITSUBISHI,COLT
WV12AWP,TOYOTA,LANDCRUISER
WV12OJT,FORD,FIESTA
WV12UWT,MERCEDES-BENZ,SPRINTER
WV14YVY,KIA,CEED
WV16VUP,BMW,218
WV17YDK,FORD,FIESTA
WV19EPC,FIAT,RAPDIO
WV19HBJ,PEUGEOT,508
WV19OJJ,HYUNDAI,KONA
WV19OSE,TOYOTA,YARIS
WV22OLH,FORD,PUMA TITANIUM MHEV
WV51PYT,MERCEDES-BENZ,SPRINTER
WV53HVM,FORD,FIESTA
WV55UVY,FORD,FIESTA
WV56ZTU,TOYOTA,YARIS
